Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time (s),Prediction Time (s)
GRU,0.8779241731648293,0.8301004907688713,0.9515135279935708,0.8866699950074888,0.9490218726151446,530.0804719924927,10.715722799301147
LSTM,0.8796719548265662,0.8806330472103004,0.8794535226359497,0.8800428896930707,0.9437866235164867,785.944819688797,10.943257331848145
RNN,0.5037644528098951,0.5432098765432098,0.07072060005357621,0.12514813936951885,0.5127380878787253,108.8979263305664,7.9657392501831055
